"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx","_2cbZ2 href"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1250-sq-ft-in-sunny-enclave-kharar-iid-1846822304","₹ 22,500","2 BHK - 2 Bathroom - 1250 sqft","2Bhk Fully Furnished Independent Sector -125 Sunny Enclave","Sunny Enclave, Kharar","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1-sq-ft-in-sunny-enclave-kharar-iid-1846812842","₹ 16,000","3 BHK - 3 Bathroom - 1 sqft","3bhk unfurnished owner free villa jhungian road global city","Sunny Enclave, Kharar","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1500-sq-ft-in-sunny-enclave-kharar-iid-1846812591","₹ 22,000","3 BHK - 3 Bathroom - 1500 sqft","3 BHK Ground Floor Rent Sec-123 Milton Home  22k  Owner","Sunny Enclave, Kharar","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-1800-sq-ft-in-green-enclave-colony-mohali-iid-1846809670","₹ 9,000","1 BHK - 1 Bathroom - 1800 sqft","Room rent for girls, couple and single boy","Green Enclave Colony, Mohali","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-900-sq-ft-in-sector-115-kharar-iid-1846170027","₹ 12,500","2 BHK - 2 Bathroom - 900 sqft","Full furnish","Sector 115, Kharar","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1500-sq-ft-in-sunny-enclave-kharar-iid-1822666994","₹ 26,000","3 BHK - 3 Bathroom - 1500 sqft","Luxurious 3Bhk Fully Furnished 2nd Floor In Sunny Enclave 200ft road","Sunny Enclave, Kharar","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1100-sq-ft-in-sunny-enclave-kharar-iid-1829182790","₹ 22,000","2 BHK - 2 Bathroom - 1100 sqft","Available 2Bhk 1st Floor for rent In Sunny Enclave 125","Sunny Enclave, Kharar","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-927-sq-ft-in-sunny-enclave-kharar-iid-1846804152","₹ 26,000","2 BHK - 2 Bathroom - 927 sqft","2BHK Flat For Rent","Sunny Enclave, Kharar","Jun 18",""
"","₹ 12,500","1 BHK - 1 Bathroom - 2000 sqft","1 room for girl","Sector 115, Mohali","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-1250-sq-ft-in-sunny-enclave-kharar-iid-1846800300","₹ 12,000","1 BHK - 1 Bathroom - 1250 sqft","1Rk Fully Furnished Independent Sunny Enclave-125","Sunny Enclave, Kharar","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-airport-road-mohali-iid-1846799762","₹ 17,000","2 BHK - 2 Bathroom - 900 sqft","2 BHK Semi-Furnished Flat for Rent  Family Only  Near airpert road","Airport Road, Mohali","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1700-sq-ft-in-sector-127-mohali-iid-1845986689","₹ 25,000","3 BHK - 3 Bathroom - 1700 sqft","3BHK GILLCO APRTMENTS FULLY FURNISHED","Sector 127, Mohali","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-1247-sq-ft-in-sector-114-mohali-iid-1846794416","https://apollo.olx.in/v1/files/dhtiox4n2r8o3-IN/image;s=150x0;q=50;f=webp;","₹ 25,000","Independent Floor for Family","Sector 114, Mohali","Jun 18",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-khuni-majra-mohali-iid-1846785316","","₹ 18,000","2 BHK Ground floor","Khuni Majra, Mohali","Jun 18","2 BHK - 2 Bathroom - 900 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-555-sq-ft-in-sector-127-kharar-iid-1846778108","https://apollo.olx.in/v1/files/dl1hb32hk403-IN/image;s=150x0;q=50;f=webp;","₹ 10,000","Room for rent near CU,CGC","Sector 127, Kharar","Jun 18","1 BHK - 1 Bathroom - 555 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-sector-124-mohali-iid-1846777534","https://apollo.olx.in/v1/files/ujo6kxzbr3961-IN/image;s=150x0;q=50;f=webp;","₹ 15,000","Flat is to rent out","Sector 124, Mohali","Jun 18","2 BHK - 1 Bathroom - 900 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-200-sq-ft-in-sector-123-mohali-iid-1846775281","https://apollo.olx.in/v1/files/hx6d6mgubzj71-IN/image;s=150x0;q=50;f=webp;","₹ 6,000","Room for rent for girls 6000rps","Sector 123, Mohali","Jun 18","1 BHK - 1 Bathroom - 200 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-400-sq-ft-in-khanpur-kharar-iid-1846718301","https://apollo.olx.in/v1/files/axr3d5jfijz1-IN/image;s=150x0;q=50;f=webp;","₹ 9,000","Available on rent","Khanpur, Kharar","Jun 18","1 BHK - 1 Bathroom - 400 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1500-sq-ft-in-sector-123-mohali-iid-1846761903","https://apollo.olx.in/v1/files/bqvkcvsi1hui-IN/image;s=150x0;q=50;f=webp;","₹ 30,000",": 3bhk Flat Fully furnished air port Road","Sector 123, Mohali","Jun 17","3 BHK - 3 Bathroom - 1500 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1800-sq-ft-in-sector-117-mohali-iid-1846757627","","₹ 20,000","Spacious 3 BHK Available for Rent  Acme Heights 2, Mohali","Sector 117, Mohali","Jun 17","3 BHK - 3 Bathroom - 1800 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-14-sq-ft-in-dashmesh-nagar-kharar-iid-1846754501","https://apollo.olx.in/v1/files/1aydvikgbzwh-IN/image;s=150x0;q=50;f=webp;","₹ 6,500","Dasmesh Nagar sec 15 near aggerwal tent house kharar","Dashmesh Nagar, Kharar","Jun 17","1 BHK - 1 Bathroom - 14 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1800-sq-ft-in-shivalik-city-kharar-iid-1846753673","https://apollo.olx.in/v1/files/kq6x3x3f11r1-IN/image;s=150x0;q=50;f=webp;","₹ 28,000","200gaz Fully Furnished Flat for Rent","Shivalik City, Kharar","Jun 17","3 BHK - 3 Bathroom - 1800 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-670-sq-ft-in-sector-115-kharar-iid-1846750166","","₹ 16,000","Fully Furnished 1 BHK in Sector 115","Sector 115, Kharar","Jun 17","1 BHK - 1 Bathroom - 670 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-775-sq-ft-in-new-hari-enclave-kharar-iid-1846747602","","₹ 14,500","Fully furnished first Floor","New Hari Enclave, Kharar","Jun 17","1 BHK - 1 Bathroom - 775 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-785-sq-ft-in-jtpl-township-kharar-iid-1846736007","","₹ 13,000","Only for family","JTPL Township, Kharar","Jun 17","1 BHK - 1 Bathroom - 785 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1560-sq-ft-in-shivalik-city-kharar-iid-1846730945","","₹ 26,000","3 bhk fully furnished flat available for rent in shivalik city","Shivalik City, Kharar","Jun 17","3 BHK - 3 Bathroom - 1560 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-independent-builder-floors-1500-sq-ft-in-sector-92-mohali-iid-1846729012","","₹ 28,000","2 BHK Flat For Rent Acme 92","Sector 92, Mohali","Jun 17","2 BHK - 2 Bathroom - 1500 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1500-sq-ft-in-sector-115-kharar-iid-1846726187","","₹ 21,000","3bhk apartment for rent","Sector 115, Kharar","Jun 17","3 BHK - 2 Bathroom - 1500 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-8-sq-ft-in-sector-115-kharar-iid-1846718573","","₹ 11,000","1room set available in 2bhk  only for female flatmate","Sector 115, Kharar","Jun 17","1 BHK - 1 Bathroom - 8 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1250-sq-ft-in-airport-road-mohali-iid-1845802298","","₹ 30,000","3BHK Fully Furnished Flat Available  For Rent","Airport Road, Mohali","Jun 17","3 BHK - 3 Bathroom - 1250 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-500-sq-ft-in-airport-road-mohali-iid-1846711412","","₹ 15,000","Fully furnished kothi","Airport Road, Mohali","Jun 17","1 BHK - 1 Bathroom - 500 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1400-sq-ft-in-desu-majra-colony-kharar-iid-1846709771","","₹ 26,000","3 bhk flat for rent fully furnished .3 ac bed sofa ro frizz for family","Desu Majra Colony, Kharar","Jun 17",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-sector-127-mohali-iid-1846701052","","₹ 18,000","2BHK Independent Ground Floor Available","Sector 127, Mohali","Jun 17","2 BHK - 2 Bathroom - 900 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1-sq-ft-in-sector-118-mohali-iid-1846559767","","₹ 6,000","One room set fully furnished","Sector 118, Mohali","Jun 17","1 BHK - 1 Bathroom - 1 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-5000-sq-ft-in-new-hari-enclave-kharar-iid-1846700139","","₹ 6,500","Appartment on rent","New Hari Enclave, Kharar","Jun 17","1 BHK - 1 Bathroom - 5000 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-590-sq-ft-in-sante-majra-kharar-iid-1846698343","","₹ 25,000","2bhk fully furnished independent flat for rent landran road ️","Sante Majra, Kharar","Jun 17","2 BHK - 2 Bathroom - 590 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-14-sq-ft-in-garden-colony-kharar-iid-1846697506","","₹ 5,000","Spacious 1 RK Room with Attached Bathroom & Kitchen  First Floor","Garden Colony, Kharar","Jun 17","1 BHK - 1 Bathroom - 14 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-3000-sq-ft-in-gillco-valley-kharar-iid-1846397347","","₹ 21,000","2 BHK first floor for rent in Gillco Valley","Gillco Valley, Kharar","Jun 17","2 BHK - 2 Bathroom - 3000 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1625-sq-ft-in-sector-115-kharar-iid-1846693021","","₹ 22,000","3+1 BHK Available for rent","Sector 115, Kharar","Jun 17","3 BHK - 3 Bathroom - 1625 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1200-sq-ft-in-sector-115-kharar-iid-1846692657","","₹ 15,000","All things are available","Sector 115, Kharar","Jun 17","2 BHK - 1 Bathroom - 1200 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-2250-sq-ft-in-gillco-valley-kharar-iid-1846691581","","₹ 25,000","Open 3 sides , fully well lit villa, back gate entry on 60 feet wide r","Gillco Valley, Kharar","Jun 17","3 BHK - 3 Bathroom - 2250 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-910-sq-ft-in-sector-126-mohali-iid-1846685407","","₹ 7,000","1ROOM SET FURNISHED 126 SECTOR","Sector 126, Mohali","Jun 17","1 BHK - 1 Bathroom - 910 sqft"
"","","₹ 30,000","2bhk furnished flat available for rent","Sector 117, Mohali","Jun 17","2 BHK - 2 Bathroom - 0000 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-2000-sq-ft-in-airport-road-mohali-iid-1846678160","","₹ 39,000","3 BHK 2 BATH FOR RENT","Airport Road, Mohali","Jun 17","3 BHK - 2 Bathroom - 2000 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1800-sq-ft-in-airport-road-mohali-iid-1846677805","","₹ 26,000","Sector 80, Mohali","Airport Road, Mohali","Jun 17","2 BHK - 2 Bathroom - 1800 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-650-sq-ft-in-guru-teg-bahadur-nagar-kharar-iid-1846672962","","₹ 10,000","House to let","Guru Teg Bahadur Nagar, Kharar","Jun 17","2 BHK - 1 Bathroom - 650 sqft"
"","","₹ 17,000","1 bhk fully furnished flat for rent near phase 8b industrial area","Sector 117, Mohali","Jun 17","1 BHK - 1 Bathroom - 650 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-2-sq-ft-in-sector-123-mohali-iid-1846657981","","₹ 5,000","Sharing room with girl need only girl also provide the vedio","Sector 123, Mohali","Jun 17","2 BHK - 2 Bathroom - 2 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-400-sq-ft-in-sector-125-mohali-iid-1846661572","","₹ 8,000","Affordable Boy PG Available","Sector 125, Mohali","Jun 16","1 BHK - 1 Bathroom - 400 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-720-sq-ft-in-sector-92-mohali-iid-1846661276","","₹ 10,000","1 independent room in 2 BHK","Sector 92, Mohali","Jun 16","2 BHK - 1 Bathroom - 720 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-252278-sq-ft-in-anaj-mandi-purani-chungi-kharar-iid-1846660480","","₹ 12,500","2bhk flat for rent in badala road near anaj mandi","Anaj Mandi Purani Chungi, Kharar","Jun 16","2 BHK - 1 Bathroom - 252278 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1200-sq-ft-in-sector-114-mohali-iid-1846659730","","₹ 12,000","1room available in sharing for girls only","Sector 114, Mohali","Jun 16","2 BHK - 1 Bathroom - 1200 sqft"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-150-sq-ft-in-khanpur-kharar-iid-1846443676","https://apollo.olx.in/v1/files/06hofwg9y6lh3-IN/image;s=150x0;q=50;f=webp;","₹ 8,500","1 BHK - 1 Bathroom - 150 sqft","1 Room MODERN VALLEY KHANPUR kharar","Khanpur, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-duplex-1600-sq-ft-in-chajju-majra-mohali-iid-1846653792","https://apollo.olx.in/v1/files/2rtgs9j0s85r1-IN/image;s=150x0;q=50;f=webp;","₹ 12,500","2 BHK - 2 Bathroom - 1600 sqft","Good facility of clean water parking space and  wifi is also available","Chajju Majra, Mohali","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1000-sq-ft-in-khanpur-kharar-iid-1846053482","https://apollo.olx.in/v1/files/i86e1yzf2wh81-IN/image;s=150x0;q=50;f=webp;","₹ 25,000","2 BHK - 2 Bathroom - 1000 sqft","Fully furnished  Fully independent with roof rights 2 bhk  for rent","Khanpur, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-700-sq-ft-in-sector-127-kharar-iid-1846026948","https://apollo.olx.in/v1/files/we6viyqmtm3p-IN/image;s=150x0;q=50;f=webp;","₹ 14,000","2 BHK - 1 Bathroom - 700 sqft","2BHK Independent Floor for Rent in Sector 127, Kharar  Family","Sector 127, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-900-sq-ft-in-harialpur-mohali-iid-1846639726","https://apollo.olx.in/v1/files/1iffkevsl6gv-IN/image;s=150x0;q=50;f=webp;","₹ 6,000","1 BHK - 1 Bathroom - 900 sqft","1 Room Set With kitchen and washroom For Girls or Couple","Harialpur, Mohali","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-2000-sq-ft-in-guru-teg-bahadur-nagar-kharar-iid-1846634513","https://apollo.olx.in/v1/files/o1qtouxqwh493-IN/image;s=150x0;q=50;f=webp;","₹ 20,000","3 BHK - 2 Bathroom - 2000 sqft","3Bhk flat for rent for Family","Guru Teg Bahadur Nagar, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-400-sq-ft-in-ranjeet-nagar-kharar-iid-1846631253","https://apollo.olx.in/v1/files/w1jsgf88tr633-IN/image;s=150x0;q=50;f=webp;","₹ 6,500","1 BHK - 1 Bathroom - 400 sqft","One room semi furnished room available on rent for students","Ranjeet Nagar, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-500-sq-ft-in-sector-125-mohali-iid-1846631304","https://apollo.olx.in/v1/files/io058ng02egm3-IN/image;s=150x0;q=50;f=webp;","₹ 12,000","1 BHK - 1 Bathroom - 500 sqft","Dgm homes sec 125 independt flat","Sector 125, Mohali","Jun 16"
"","https://apollo.olx.in/v1/files/flb0uycvowgf1-IN/image;s=150x0;q=50;f=webp;","₹ 30,000","2 BHK - 2 Bathroom - 0000 sqft","2bhk furnished flat for rent","Sector 116, Mohali","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-3000-sq-ft-in-baliali-mohali-iid-1846614378","https://apollo.olx.in/v1/files/j236cbe2koim1-IN/image;s=150x0;q=50;f=webp;","₹ 60,000","3 BHK - 3 Bathroom - 3000 sqft","Premium 3BHK Fully furnished and well maintained flat","Baliali, Mohali","Jun 16"
"","https://apollo.olx.in/v1/files/51gqxcbl7sjk1-IN/image;s=150x0;q=50;f=webp;","₹ 40,000","3 BHK - 3 Bathroom - 2000 sqft","New luxirious full furnished 3 bhk 1st floor for rent on airport road","Sector 123, Mohali","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-main-bazar-kharar-iid-1846506549","https://apollo.olx.in/v1/files/yuqpmca7b4bd1-IN/image;s=150x0;q=50;f=webp;","₹ 12,000","2 BHK - 2 Bathroom - 1200 sqft","Looking for a female flatmate in 2bhk flat","Main Bazar, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1200-sq-ft-in-sector-127-kharar-iid-1846241436","https://apollo.olx.in/v1/files/uis2jkbe763l2-IN/image;s=150x0;q=50;f=webp;","₹ 13,500","1 BHK - 1 Bathroom - 1200 sqft","Fully Furnished and Spacious Flat for Rent","Sector 127, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-850-sq-ft-in-khanpur-kharar-iid-1845989216","","₹ 20,000","2 BHK - 2 Bathroom - 850 sqft","Fully Furnished 2 BHK Flat for Rent Near Chandigarh University","Khanpur, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-750-sq-ft-in-garden-colony-kharar-iid-1846570853","","₹ 7,000","1 BHK - 1 Bathroom - 750 sqft","1 Room Furnished For Student Near CU Best Option ,Food Also Available","Garden Colony, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-120-sq-ft-in-khanpur-kharar-iid-1846556093","","₹ 8,000","3 BHK - 2 Bathroom - 120 sqft","2 rooms available in 3bhk flat (only for girls)","Khanpur, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-500-sq-ft-in-sector-114-mohali-iid-1846496149","","₹ 10,000","3 BHK - 3 Bathroom - 500 sqft","1 room available in 3bhk","Sector 114, Mohali","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-350-sq-ft-in-sector-116-mohali-iid-1846215293","","₹ 13,000","1 BHK - 1 Bathroom - 350 sqft","2RK,1RK and studio room option available","Sector 116, Mohali","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1500-sq-ft-in-sunny-enclave-kharar-iid-1846562802","","₹ 18,000","2 BHK - 1 Bathroom - 1500 sqft","Floor for rent","Sunny Enclave, Kharar","Jun 16"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-900-sq-ft-in-khanpur-kharar-iid-1846494437","","₹ 19,000","2 BHK - 2 Bathroom - 900 sqft","Nature hut 3 , Ground floor flat","Khanpur, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-2287-sq-ft-in-sector-115-mohali-iid-1846559674","","₹ 33,000","3 BHK - 3 Bathroom - 2287 sqft","3bhk fully furnished luxury flat with all amenities","Sector 115, Mohali","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1200-sq-ft-in-luharan-mohalla-kharar-iid-1846546138","","₹ 13,000","2 BHK - 2 Bathroom - 1200 sqft","Landhra road near by C.H.D sweet","Luharan Mohalla, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-850-sq-ft-in-sector-127-kharar-iid-1846251085","","₹ 11,000","2 BHK - 1 Bathroom - 850 sqft","Good Decent people","Sector 127, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1950-sq-ft-in-khanpur-kharar-iid-1842786770","","₹ 22,500","3 BHK - 2 Bathroom - 1950 sqft","Ownee free 3BHK Fully furnished Flats.","Khanpur, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1000-sq-ft-in-swaraj-nagar-kharar-iid-1846535998","","₹ 7,000","2 BHK - 2 Bathroom - 1000 sqft","Room for rent in sunny enclave","Swaraj Nagar, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-750-sq-ft-in-khanpur-kharar-iid-1846532690","","₹ 19,500","1 BHK - 2 Bathroom - 750 sqft","AC frig bed water filter cupboard Park gym geted society","Khanpur, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1500-sq-ft-in-sector-123-mohali-iid-1846531545","","₹ 25,000","3 BHK - 3 Bathroom - 1500 sqft","3 bhk near airport road luxery flat sec 123","Sector 123, Mohali","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-800-sq-ft-in-mandi-kharar-kharar-iid-1846531503","","₹ 8,000","1 BHK - 1 Bathroom - 800 sqft","FREE TOLET SERVICES IN KHARAR","Mandi Kharar, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-houses-villas-650-sq-ft-in-chhaju-majra-kharar-iid-1846526785","","₹ 12,500","1 BHK - 1 Bathroom - 650 sqft","1 BHK fully furnished","Chhaju Majra, Kharar","Jun 15"
"","","₹ 12,000","2 BHK - 1 Bathroom - 000 sqft","2bhk semi furnished floor for rent","Sector 124, Mohali","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-200-sq-ft-in-sector-117-mohali-iid-1846449192","","₹ 10,000","2 BHK - 1 Bathroom - 200 sqft","One room available for a Girl in a 2bhk flat in Decent Homes","Sector 117, Mohali","Jun 15"
"","","₹ 16,000","1 BHK - 1 Bathroom - 780 sqft","1bhk sector 115","Sector 115, Mohali","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1200-sq-ft-in-main-bazar-kharar-iid-1845684003","","₹ 16,000","2 BHK - 2 Bathroom - 1200 sqft","Ground floor new villa furnished","Main Bazar, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-2600-sq-ft-in-airport-road-mohali-iid-1846514206","","₹ 25,000","2 BHK - 3 Bathroom - 2600 sqft","3bhk flat for rent","Airport Road, Mohali","Jun 15"
"","","₹ 18,500","2 BHK - 2 Bathroom - 1100 sqft","2 bhk   ,2 bhk fully furnished flat available for  rent .","Shivalik City, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1700-sq-ft-in-sector-115-kharar-iid-1846499894","","₹ 20,000","3 BHK - 3 Bathroom - 1700 sqft","3 BHK SEMI FURNISHED 1 st FLOOR AVAILABLE FOR RENT","Sector 115, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-750-sq-ft-in-sector-127-mohali-iid-1846489922","","₹ 16,000","1 BHK - 1 Bathroom - 750 sqft","1bhk fully furnished flate","Sector 127, Mohali","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-sector-117-mohali-iid-1846483927","","₹ 25,000","2 BHK - 2 Bathroom - 1350 sqft","2 BHK FULLY FURNISHED FLAT FOR RENT","Sector 117, Mohali","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-809-sq-ft-in-sector-126-kharar-iid-1845734018","","₹ 15,000","2 BHK - 2 Bathroom - 809 sqft","House for rent 15000/-","Sector 126, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1300-sq-ft-in-shivalik-city-kharar-iid-1846478823","","₹ 14,000","2 BHK - 2 Bathroom - 1300 sqft","INDIVIDUAL HOUSE","Shivalik City, Kharar","Jun 15"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1300-sq-ft-in-shivalik-city-kharar-iid-1846478823","₹ 14,000","2 BHK - 2 Bathroom - 1300 sqft","INDIVIDUAL HOUSE","Shivalik City, Kharar","Jun 15",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-750-sq-ft-in-sector-115-kharar-iid-1846476221","₹ 13,000","1 BHK - 1 Bathroom - 750 sqft","Need geniune person for long term stay","Sector 115, Kharar","Jun 15",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-150-sq-ft-in-chogayan-mohalla-kharar-iid-1843544631","₹ 8,500","1 BHK - 1 Bathroom - 150 sqft","Room rent  Kharar near Market","Chogayan Mohalla, Kharar","Jun 15","https://apollo.olx.in/v1/files/5nzmr040r1y43-IN/image;s=150x0;q=50;f=webp;"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-100-sq-ft-in-ranjeet-nagar-kharar-iid-1846467880","₹ 3,500","1 BHK - 1 Bathroom - 100 sqft","Single room bed fan almira","Ranjeet Nagar, Kharar","Jun 15","https://apollo.olx.in/v1/files/iafzpg75xddv1-IN/image;s=150x0;q=50;f=webp;"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1500-sq-ft-in-gillco-valley-kharar-iid-1846322897","₹ 10,000","2 BHK - 1 Bathroom - 1500 sqft","Two room set with bed metress ro gyser only hus wife n kid","Gillco Valley, Kharar","Jun 15","https://apollo.olx.in/v1/files/3as29wbm0vkc1-IN/image;s=150x0;q=50;f=webp;"
